,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,5169.0,5149.0,5410.0,5809.0,6693.0,7207.0,6378.0,7099.0,7675.0,8688.0,11296.0,10538.0
Expenses,,4862.0,4926.0,4992.0,5332.0,6307.0,6552.0,5815.0,6454.0,7247.0,8165.0,10570.0,10248.0
Operating Profit,,307.0,223.0,419.0,477.0,386.0,655.0,562.0,644.0,428.0,522.0,726.0,289.0
OPM %,,6.0,4.0,8.0,8.0,6.0,9.0,9.0,9.0,6.0,6.0,6.0,3.0
Other Income,,166.0,292.0,260.0,233.0,287.0,195.0,220.0,167.0,1149.0,300.0,401.0,283.0
Interest,,16.0,8.0,10.0,8.0,23.0,9.0,19.0,15.0,12.0,21.0,35.0,65.0
Depreciation,,22.0,19.0,18.0,19.0,20.0,29.0,30.0,33.0,36.0,43.0,56.0,79.0
Profit before tax,,434.0,488.0,651.0,683.0,631.0,813.0,733.0,763.0,1528.0,758.0,1036.0,429.0
Tax %,,24.0,28.0,25.0,27.0,26.0,27.0,22.0,24.0,8.0,20.0,25.0,21.0
Net Profit,,329.0,349.0,486.0,501.0,464.0,595.0,570.0,583.0,1405.0,604.0,777.0,341.0
EPS in Rs,,9.95,10.56,14.69,15.15,14.04,17.98,17.24,17.63,42.47,18.26,23.48,10.31
Dividend Payout %,,23.0,25.0,24.0,26.0,28.0,22.0,29.0,31.0,10.0,30.0,30.0,39.0
Sales Growth %,Sales,0.34,-0.39,5.08,7.36,15.23,7.67,-11.5,11.3,8.12,13.2,30.02,-6.71
Exceptional items,Other Income,26.0,66.0,-7.0,-4.0,25.0,-54.0,-0.0,-1.0,974.0,-0.0,16.0,-16.0
Other income normal,Other Income,139.0,226.0,267.0,237.0,263.0,250.0,220.0,168.0,175.0,300.0,385.0,299.0
Exceptional items AT,Net Profit,20.0,46.0,-5.0,-3.0,17.0,-40.0,-0.0,-1.0,895.0,-0.0,12.0,-13.0
Profit excl Excep,Net Profit,310.0,304.0,491.0,504.0,447.0,635.0,570.0,584.0,510.0,605.0,765.0,354.0
Profit for PE,Net Profit,310.0,304.0,491.0,504.0,447.0,635.0,570.0,584.0,510.0,605.0,765.0,354.0
Profit for EPS,Net Profit,329.0,349.0,486.0,501.0,464.0,595.0,570.0,583.0,1405.0,604.0,777.0,341.0
Profit Growth %,Net Profit,68.0,-2.0,62.0,3.0,-11.0,42.0,-10.0,2.0,-13.0,18.0,27.0,-54.0
