nse_symbol,status
AADHARHFC,skip:existing
AARTIDRUGS,skip:existing
AARTIIND,skip:existing
AARTIPHARM,skip:existing
AAVAS,skip:existing
ABB,skip:existing
ABBOTINDIA,skip:existing
ABCAPITAL,skip:existing
ABDL,skip:existing
ABFRL,skip:existing
ABLBL,skip:existing
ABREL,skip:existing
ABSLAMC,skip:existing
ACC,skip:existing
ACE,skip:existing
ACI,skip:existing
ACMESOLAR,skip:existing
ACUTAAS,skip:existing
ADANIENSOL,skip:existing
ADANIENT,skip:existing
ADANIGREEN,skip:existing
ADANIPORTS,skip:existing
ADANIPOWER,skip:existing
ADVENZYMES,skip:existing
AEGISLOG,skip:existing
AEGISVOPAK,skip:existing
AEQUS,skip:existing
AETHER,skip:existing
AFCONS,skip:existing
AFFLE,skip:existing
AGARWALEYE,skip:existing
AHLUCONT,skip:existing
AIAENG,skip:existing
AIIL,skip:existing
AJANTPHARM,skip:existing
AKUMS,skip:existing
ALIVUS,skip:existing
ALKEM,skip:existing
ALKYLAMINE,skip:existing
ALOKINDS,skip:existing
AMBER,skip:existing
AMBUJACEM,skip:existing
ANANDRATHI,skip:existing
ANANTRAJ,skip:existing
ANGELONE,skip:existing
ANTHEM,skip:existing
ANUP,skip:existing
ANURAS,skip:existing
APARINDS,skip:existing
APLAPOLLO,skip:existing
APLLTD,skip:existing
APOLLO,skip:existing
APOLLOHOSP,skip:existing
APOLLOTYRE,skip:existing
APTUS,skip:existing
ARVIND,skip:existing
ARVINDFASN,skip:existing
ASAHIINDIA,skip:existing
ASHAPURMIN,skip:existing
ASHOKA,skip:existing
ASHOKLEY,skip:existing
ASIANPAINT,skip:existing
ASKAUTOLTD,skip:existing
ASTERDM,skip:existing
ASTRAL,skip:existing
ASTRAMICRO,skip:existing
ATGL,skip:existing
ATHERENERG,skip:existing
ATLANTAELE,skip:existing
ATUL,skip:existing
AUBANK,skip:existing
AURIONPRO,skip:existing
AUROPHARMA,skip:existing
AVALON,skip:existing
AVANTIFEED,skip:existing
AVL,skip:existing
AWFIS,skip:existing
AWL,skip:existing
AXISBANK,skip:existing
AXISCADES,skip:existing
AZAD,skip:existing
BAJAJ-AUTO,skip:existing
BAJAJELEC,skip:existing
BAJAJFINSV,skip:existing
BAJAJHFL,skip:existing
BAJAJHLDNG,skip:existing
BAJFINANCE,skip:existing
BALAMINES,skip:existing
BALKRISIND,skip:existing
BALRAMCHIN,skip:existing
BALUFORGE,skip:existing
BANCOINDIA,skip:existing
BANDHANBNK,skip:existing
BANKBARODA,skip:existing
BANKINDIA,skip:existing
BATAINDIA,skip:existing
BAYERCROP,skip:existing
BBOX,skip:existing
BBTC,skip:existing
BDL,skip:existing
BECTORFOOD,skip:existing
BEL,skip:existing
BELRISE,skip:existing
BEML,skip:existing
BERGEPAINT,skip:existing
BHARATFORG,skip:existing
BHARTIARTL,skip:existing
BHARTIHEXA,"ok:standalone:headline=12:cols=8;schedules=Sales=1,Expenses=3,Other Income=2,Net Profit=5"
BHEL,skip:existing
BIKAJI,skip:existing
BIOCON,skip:existing
BIRLACORPN,skip:existing
BLACKBUCK,skip:existing
BLS,skip:existing
BLUEDART,skip:existing
BLUEJET,skip:existing
BLUESTARCO,skip:existing
BLUESTONE,skip:existing
BORORENEW,skip:existing
BOSCHLTD,skip:existing
BPCL,skip:existing
BRIGADE,skip:existing
BRITANNIA,skip:existing
BSE,skip:existing
BSOFT,skip:existing
CAMPUS,skip:existing
CAMS,skip:existing
CANBK,skip:existing
CANFINHOME,skip:existing
CANHLIFE,skip:existing
CAPILLARY,skip:existing
CAPLIPOINT,skip:existing
CARBORUNIV,skip:existing
CARTRADE,skip:existing
CASTROLIND,skip:existing
CCAVENUE,skip:existing
CCL,skip:existing
CDSL,skip:existing
CEATLTD,skip:existing
CELLO,skip:existing
CEMPRO,skip:existing
CENTRALBK,skip:existing
CENTURYPLY,skip:existing
CERA,skip:existing
CESC,skip:existing
