symbol,week_start,open,high,low,close,volume,days,complete
AADHARHFC,2026-03-09,476.3,486.0,453.0,459.75,884548,3,True
AADHARHFC,2026-03-16,457.95,482.45,447.25,449.85,1977562,5,True
AADHARHFC,2026-03-23,447.65,476.5,435.5,456.35,1041011,4,True
AADHARHFC,2026-03-30,442.6,456.55,433.25,439.1,918607,3,True
AADHARHFC,2026-04-06,443.0,480.95,435.0,478.6,1899160,5,True
AADHARHFC,2026-04-13,471.0,503.0,466.85,496.45,1573002,4,True
AADHARHFC,2026-04-20,497.0,506.7,477.4,488.1,1901781,5,True
AADHARHFC,2026-04-27,492.8,500.7,481.05,488.6,1377245,5,True
AADHARHFC,2026-05-04,488.7,523.0,486.8,501.4,3101410,5,True
AADHARHFC,2026-05-11,499.5,503.0,459.05,464.15,1428599,5,True
AADHARHFC,2026-05-18,460.0,486.4,451.2,475.45,1485176,5,True
AADHARHFC,2026-05-25,480.0,484.5,468.5,477.2,1208129,5,True
AADHARHFC,2026-06-01,473.15,476.9,451.0,468.15,2266655,5,True
AADHARHFC,2026-06-08,461.0,476.2,449.8,473.65,1874809,5,True
AADHARHFC,2026-06-15,481.0,524.5,481.0,515.1,4695275,5,True
AADHARHFC,2026-06-22,516.0,542.0,489.0,518.5,3846833,5,True
AADHARHFC,2026-06-29,518.5,558.8,502.2,555.6,4341358,5,True
AADHARHFC,2026-07-06,560.0,563.0,520.15,534.55,2598421,5,True
AADHARHFC,2026-07-13,530.0,545.2,508.8,517.25,1380242,5,True
AADHARHFC,2026-07-20,517.25,524.45,492.5,495.0,1590197,5,True
AADHARHFC,2026-07-27,500.0,507.6,487.1,496.7,1343761,5,True
AADHARHFC,2026-08-03,502.05,517.8,490.4,506.4,1745444,5,True
AADHARHFC,2026-08-10,503.9,510.45,495.0,498.2,1652528,5,True
AADHARHFC,2026-08-17,498.2,501.95,459.75,462.55,2750092,5,True
AADHARHFC,2026-08-24,462.9,481.15,459.3,471.1,1297804,5,True
AADHARHFC,2026-08-31,471.1,488.0,462.8,483.55,1214794,5,True
AADHARHFC,2026-09-07,483.5,485.0,452.0,456.8,1397664,5,True
AARTIDRUGS,2026-03-09,353.45,362.45,345.0,347.75,332429,3,True
AARTIDRUGS,2026-03-16,349.0,357.0,332.85,343.15,802555,5,True
AARTIDRUGS,2026-03-23,344.7,348.0,325.6,330.7,584976,4,True
AARTIDRUGS,2026-03-30,328.0,354.6,318.95,352.7,474533,3,True
AARTIDRUGS,2026-04-06,351.0,369.0,345.3,355.1,655002,5,True
AARTIDRUGS,2026-04-13,350.25,376.9,343.5,373.2,537638,4,True
AARTIDRUGS,2026-04-20,375.0,379.0,360.85,366.7,777622,5,True
AARTIDRUGS,2026-04-27,369.6,385.3,366.7,376.3,529758,5,True
AARTIDRUGS,2026-05-04,380.0,402.45,377.3,387.9,1080007,5,True
AARTIDRUGS,2026-05-11,387.95,389.9,358.6,367.75,802853,5,True
AARTIDRUGS,2026-05-18,365.0,393.45,356.1,389.95,795771,5,True
AARTIDRUGS,2026-05-25,393.0,407.2,377.5,380.4,697097,5,True
AARTIDRUGS,2026-06-01,385.9,391.05,372.55,376.85,399023,5,True
AARTIDRUGS,2026-06-08,373.0,381.15,365.0,371.7,510129,5,True
AARTIDRUGS,2026-06-15,378.0,383.5,366.8,370.35,839187,5,True
AARTIDRUGS,2026-06-22,371.15,385.2,368.55,372.7,918958,5,True
AARTIDRUGS,2026-06-29,372.7,394.85,369.0,386.6,1022847,5,True
AARTIDRUGS,2026-07-06,387.0,405.0,377.55,396.8,956123,5,True
AARTIDRUGS,2026-07-13,396.75,435.25,392.0,422.3,1840358,5,True
AARTIDRUGS,2026-07-20,417.05,434.0,401.0,404.5,818194,5,True
AARTIDRUGS,2026-07-27,406.35,427.2,406.1,422.75,646997,5,True
AARTIDRUGS,2026-08-03,424.0,424.0,405.0,416.2,851597,5,True
AARTIDRUGS,2026-08-10,414.2,453.65,413.4,416.35,2270061,5,True
AARTIDRUGS,2026-08-17,416.3,420.7,404.5,417.4,693555,5,True
AARTIDRUGS,2026-08-24,420.7,429.8,413.9,418.55,537296,5,True
AARTIDRUGS,2026-08-31,423.0,443.75,409.95,431.65,1115331,5,True
AARTIDRUGS,2026-09-07,421.5,444.0,419.2,428.5,596693,4,True
AARTIIND,2026-03-09,426.05,456.75,419.25,420.75,5138350,3,True
AARTIIND,2026-03-16,420.95,437.65,410.35,427.35,3916655,5,True
AARTIIND,2026-03-23,420.95,435.5,401.65,417.4,3364399,4,True
AARTIIND,2026-03-30,413.5,416.9,395.9,408.7,2582001,3,True
AARTIIND,2026-04-06,408.7,432.0,394.6,423.75,3509617,5,True
AARTIIND,2026-04-13,418.0,442.5,410.0,440.85,7849560,4,True
AARTIIND,2026-04-20,442.8,480.2,436.1,472.75,5689518,5,True
AARTIIND,2026-04-27,478.0,512.4,477.1,507.5,7960118,5,True
AARTIIND,2026-05-04,513.0,523.1,475.55,485.45,11727331,5,True
AARTIIND,2026-05-11,482.0,498.0,458.25,466.25,3994365,5,True
AARTIIND,2026-05-18,461.0,484.8,440.6,476.2,3878905,5,True
AARTIIND,2026-05-25,479.0,501.4,470.6,475.0,3115035,5,True
AARTIIND,2026-06-01,474.9,478.8,454.45,458.05,2585788,5,True
AARTIIND,2026-06-08,452.0,454.95,424.0,440.6,2445504,5,True
AARTIIND,2026-06-15,448.0,504.9,448.0,484.5,25429213,5,True
AARTIIND,2026-06-22,485.25,494.5,461.5,466.05,3447756,5,True
