symbol,status,days,note
AADHARHFC,ok,128,
AARTIDRUGS,ok,127,
AARTIIND,ok,127,
AARTIPHARM,ok,127,
AAVAS,ok,127,
ABB,ok,127,
ABBOTINDIA,ok,127,
ABCAPITAL,ok,127,
ABDL,ok,128,
ABFRL,ok,128,
ABLBL,ok,129,
ABREL,ok,129,
ABSLAMC,ok,128,
ACC,ok,128,
ACE,ok,128,
ACI,ok,128,
ACMESOLAR,ok,128,
ACUTAAS,ok,128,
ADANIENSOL,ok,129,
ADANIENT,ok,129,
ADANIGREEN,ok,129,
ADANIPORTS,ok,128,
ADANIPOWER,ok,129,
ADVENZYMES,ok,127,
AEGISLOG,ok,129,
AEGISVOPAK,ok,128,
AEQUS,ok,129,
AETHER,ok,127,
AFCONS,ok,129,
AFFLE,ok,127,
AGARWALEYE,ok,128,
AHLUCONT,ok,127,
AIAENG,ok,126,
AIIL,ok,128,
AJANTPHARM,ok,127,
AKUMS,ok,128,
ALIVUS,ok,127,
ALKEM,ok,127,
ALKYLAMINE,ok,128,
ALOKINDS,ok,128,
AMBER,ok,127,
AMBUJACEM,ok,129,
ANANDRATHI,ok,127,
ANANTRAJ,ok,129,
ANGELONE,ok,128,
ANTHEM,ok,128,
ANUP,ok,127,
ANURAS,ok,127,
APARINDS,ok,128,
APLAPOLLO,ok,128,
APLLTD,ok,128,
APOLLO,ok,129,
APOLLOHOSP,ok,127,
APOLLOTYRE,ok,129,
APTUS,ok,127,
ARVIND,ok,128,
ARVINDFASN,ok,127,
ASAHIINDIA,ok,128,
ASHAPURMIN,ok,129,
ASHOKA,ok,127,
ASHOKLEY,ok,129,
ASIANPAINT,ok,129,
ASKAUTOLTD,ok,128,
ASTERDM,ok,128,
ASTRAL,ok,128,
ASTRAMICRO,ok,129,
ATGL,ok,128,
ATHERENERG,ok,129,
ATLANTAELE,ok,127,
ATUL,ok,128,
AUBANK,ok,128,
AURIONPRO,ok,128,
AUROPHARMA,ok,128,
AVALON,ok,127,
AVANTIFEED,ok,128,
AVL,ok,128,
AWFIS,ok,129,
AWL,ok,127,
AXISBANK,ok,128,
AXISCADES,ok,128,
AZAD,ok,129,
BAJAJ-AUTO,ok,128,
BAJAJELEC,ok,128,
BAJAJFINSV,ok,129,
BAJAJHFL,ok,129,
BAJAJHLDNG,ok,129,
BAJFINANCE,ok,129,
BALAMINES,ok,128,
BALKRISIND,ok,126,
BALRAMCHIN,ok,129,
BALUFORGE,ok,128,
BANCOINDIA,ok,127,
BANDHANBNK,ok,129,
BANKBARODA,ok,129,
BANKINDIA,ok,129,
BATAINDIA,ok,128,
BAYERCROP,ok,127,
BBOX,ok,128,
BBTC,ok,127,
BDL,ok,128,
BECTORFOOD,ok,128,
BEL,ok,129,
BELRISE,ok,128,
BEML,ok,128,
BERGEPAINT,ok,128,
BHARATFORG,ok,128,
BHARTIARTL,ok,129,
BHARTIHEXA,ok,128,
BHEL,ok,129,
BIKAJI,ok,127,
BIOCON,ok,128,
BIRLACORPN,ok,129,
BLACKBUCK,ok,128,
BLS,ok,129,
BLUEDART,ok,127,
BLUEJET,ok,129,
BLUESTARCO,ok,127,
BLUESTONE,ok,128,
BORORENEW,ok,128,
BOSCHLTD,ok,127,
BPCL,ok,129,
BRIGADE,ok,127,
BRITANNIA,ok,128,
BSE,ok,128,
BSOFT,ok,129,
CAMPUS,ok,128,
CAMS,ok,128,
CANBK,ok,129,
CANFINHOME,ok,127,
CANHLIFE,ok,128,
CAPILLARY,ok,129,
CAPLIPOINT,ok,126,
CARBORUNIV,ok,128,
CARTRADE,ok,128,
CASTROLIND,ok,128,
