rank,symbol,asof_month_traded_value
1,RELIANCE,492383434216.4
2,HDFCBANK,446624418799.35
3,SBIN,428761175450.8
4,ICICIBANK,383226413528.45
5,HDFC,315274611533.3
6,BAJFINANCE,311878555708.7
7,AXISBANK,285798892034.6
8,INDUSINDBK,271906347850.65
9,TCS,209642375888.75
10,INFY,191873355655.45
11,KOTAKBANK,189399482816.35
12,YESBANK,179919142117.95
13,BHARTIARTL,158967587096.7
14,IBULHSGFIN,158161911904.1
15,TATAMOTORS,153747126620.05
16,MARUTI,148303724633.95
17,ITC,142664825623.05
18,HINDUNILVR,139141828696.45
19,TATASTEEL,124919781115.55
20,LT,124038713356.0
21,ASIANPAINT,103959934964.95
22,BPCL,91666238679.35
23,BAJAJFINSV,88501762160.9
24,SUNPHARMA,87474306354.75
25,SBICARD,85636544201.05
26,RBLBANK,80901059332.65
27,POWERGRID,79361066506.8
28,ONGC,77747926209.65
29,EICHERMOT,72527487375.9
30,TITAN,72282442100.7
31,HCLTECH,69545536289.75
32,PEL,65112226202.35
33,DRREDDY,63702842519.6
34,COALINDIA,61166143283.2
35,BANDHANBNK,60499918855.05
36,NTPC,60263768897.2
37,ZEEL,58610431195.2
38,INDIGO,58516306237.05
39,SRTRANSFIN,57738824825.25
40,JUBLFOOD,57109124453.15
41,ULTRACEMCO,56483872316.65
42,VEDL,56181108675.35
43,IRCTC,55481454206.4
44,NESTLEIND,54387220644.5
45,M&M,51012344381.5
46,HDFCLIFE,50364777799.75
47,TECHM,50225410670.3
48,CIPLA,48989203789.4
49,IDEA,48987704495.05
50,ESCORTS,48275153080.8
51,HEROMOTOCO,47681822831.9
52,PVR,47103557414.6
53,JINDALSTEL,46390186711.75
54,ASHOKLEY,46278479036.95
55,AUROPHARMA,44822943676.45
56,DIVISLAB,42013488124.05
57,JSWSTEEL,41024849900.2
58,ADANIPORTS,40945923384.7
59,BAJAJ-AUTO,40807364716.25
60,UPL,40716724043.7
61,PIDILITIND,40033848473.7
62,GAIL,39527795132.5
63,BRITANNIA,39057860393.7
64,BANKBARODA,38687086076.85
65,GRASIM,38439533642.85
66,IOC,38266808258.55
67,MUTHOOTFIN,37540735518.8
68,APOLLOHOSP,37458510148.75
69,DLF,36549767112.45
70,HINDPETRO,35355994137.35
71,LUPIN,34510903752.05
72,SHREECEM,34421330979.5
73,HINDALCO,33058191411.6
74,DABUR,32632765975.5
75,MOTHERSUMI,31556741937.45
76,INFRATEL,30248644987.45
77,MFSL,29719121370.6
78,HDFCAMC,29649691977.35
79,GODREJCP,29424567536.4
80,BIOCON,27902182979.75
81,BATAINDIA,27384826329.65
82,IGL,27333445692.2
83,CANBK,25996424639.75
84,LIQUIDBEES,25581943142.75
85,ACC,25574972458.15
86,TATACONSUM,25327792791.7
87,LICHSGFIN,25046163636.4
88,MANAPPURAM,24915708820.25
89,L&TFH,24723842717.2
90,MCDOWELL-N,24602736383.15
91,ICICIPRULI,24399806596.6
92,FEDERALBNK,23960677063.1
93,WIPRO,23422433441.05
94,JUSTDIAL,23322898970.9
95,PNB,23009467559.85
96,HAVELLS,22838529488.05
97,BEL,22403417293.35
98,PETRONET,22029259280.35
99,SBILIFE,21711369694.85
100,SRF,21424042841.05
101,IDFCFIRSTB,21359051635.7
102,AMBUJACEM,21354880366.85
103,AUBANK,20923788459.7
104,SAIL,20598099818.9
105,MARICO,20452060546.1
106,ICICIGI,20161404971.6
107,M&MFIN,19931647039.2
108,COLPAL,19896717353.75
109,NIITTECH,19787942770.35
110,VOLTAS,19673909943.05
111,NAUKRI,19250483467.95
112,BALKRISIND,18893693214.7
113,MRF,18552159994.1
114,TORNTPHARM,18432109834.7
115,CHOLAFIN,17760993601.5
116,BERGEPAINT,17454066274.1
117,NMDC,17116643187.0
118,MINDTREE,16941176579.2
119,SUNTV,16696701640.95
120,RECLTD,16489115725.3
121,NCC,16382814814.0
122,BHARATFORG,16139876356.5
123,IPCALAB,16124239168.05
124,CADILAHC,16103771466.25
125,CONCOR,15851709495.1
126,NAM-INDIA,15618070235.45
127,PAGEIND,15378497745.05
128,PFC,15229251258.35
129,ADANIENT,14574516316.45
130,TVSMOTOR,14517520061.0
131,MGL,14505512868.95
132,GLENMARK,13974984880.65
133,CENTURYTEX,13793806337.75
134,GMRINFRA,13102418342.3
135,UBL,12779699697.5
136,SIEMENS,12517406254.85
137,BHEL,12256319395.25
138,TATACHEM,11424702428.1
139,TATAPOWER,10942870619.85
140,NIFTYBEES,10935978929.07
141,APOLLOTYRE,10699262753.45
142,DEEPAKNTR,10632497384.95
143,TATAELXSI,10404968360.4
144,UJJIVAN,9798771941.05
145,EQUITAS,9748314163.4
146,MCX,9634834443.2
147,TORNTPOWER,9372190323.0
148,RAMCOCEM,9357074559.55
149,EXIDEIND,9312292962.25
150,MPHASIS,9203121063.25
151,AMARAJABAT,8869641791.15
152,OIL,8530828278.7
153,INDHOTEL,8393128386.85
154,LALPATHLAB,8349895439.0
155,MIDHANI,8089968883.35
156,CUMMINSIND,8048830454.85
157,NAVINFLUOR,7700154024.65
158,ABBOTINDIA,7668300764.4
159,ADANIPOWER,7542440412.7
160,DMART,7408426475.5
161,GSKCONS,7370526215.45
162,BOSCHLTD,7359105689.5
163,INDIACEM,7339273540.2
164,PFIZER,7083462657.3
165,TRENT,6859333825.75
166,GRANULES,6782181804.75
167,CROMPTON,6703841786.5
168,NATIONALUM,6507903446.9
169,NHPC,6294635160.65
170,GODREJPROP,6265334063.55
171,BAJAJHLDNG,6258941522.95
172,NH,6200327851.35
173,GUJGASLTD,6165429082.4
174,AJANTPHARM,6074214098.1
175,AVANTIFEED,6029316257.4
176,3MINDIA,5998457561.1
177,DIXON,5990309464.55
178,PIIND,5647381593.0
179,CESC,5644894327.2
180,CUB,5520570674.75
181,ADANIGAS,5442489886.05
182,ALKEM,5274581482.35
183,RADICO,5188210733.05
184,SANOFI,5168925439.55
185,AARTIIND,5158082999.4
186,TATAMTRDVR,5053926658.95
187,SPICEJET,4949234262.6
188,IBVENTURES,4942897095.65
189,POLYCAB,4878010115.95
190,FORTIS,4844212088.45
191,ABFRL,4680237269.7
192,NBCC,4673084917.55
193,INOXLEISUR,4592013777.6
194,WHIRLPOOL,4586515562.4
195,LTI,4530387808.45
196,RELAXO,4475085314.85
197,CASTROLIND,4376836571.7
198,HEG,4178638692.5
199,OBEROIRLTY,4131797894.85
200,VBL,4129091981.95
201,IOLCP,4105709878.95
202,METROPOLIS,3994000338.55
203,THYROCARE,3978606734.35
204,GSPL,3957250347.8
205,EMAMILTD,3917465928.6
206,BASF,3900076959.0
207,BEML,3804875284.1
208,ATUL,3789462369.1
209,GOLDBEES,3726782941.68
210,WELCORP,3626548001.05
211,WOCKPHARMA,3568020014.15
212,GRAPHITE,3545168460.8
213,ISEC,3527247686.6
214,INDIAMART,3481223249.9
215,COROMANDEL,3361066532.4
216,SETFNIF50,3344617832.27
217,DELTACORP,3325924526.5
218,FRETAIL,3320041373.1
219,LTTS,3319059446.05
220,EDELWEISS,3289905327.0
221,IRCON,3189312995.05
222,THERMAX,3175869361.0
223,CANFINHOME,3094659617.55
224,CDSL,3026513626.55
225,AAVAS,2984424504.7
226,STAR,2948690023.75
227,PHOENIXLTD,2945707933.45
228,HONAUT,2910236402.85
229,KANSAINER,2843276263.35
230,PNBHOUSING,2830135988.5
231,IEX,2825694257.65
232,AIAENG,2809084051.95
233,SUNDARMFIN,2800403124.8
234,BAYERCROP,2709431135.15
235,JKCEMENT,2684273187.0
236,GMMPFAUDLR,2676536040.75
237,RITES,2654559236.15
238,STRTECH,2627916582.1
239,CREDITACC,2596026088.95
240,DALBHARAT,2580943914.5
241,BANKBEES,2530620474.27
242,RAYMOND,2494999839.55
243,CPSEETF,2487986167.22
244,TIINDIA,2487231870.65
245,UNIONBANK,2481841130.25
246,ABCAPITAL,2474982762.8
247,WESTLIFE,2463310830.2
248,VENKEYS,2420905649.05
249,HEXAWARE,2418446743.25
250,CHOLAHLDNG,2386275564.35
251,IBREALEST,2359936547.0
252,SPENCERS,2293775090.15
253,BALRAMCHIN,2284345568.7
254,SUPREMEIND,2280299045.0
255,ADANIGREEN,2278680802.8
256,DCBBANK,2268285453.55
257,SPARC,2222010203.45
258,PRESTIGE,2204357749.5
259,KEI,2203651468.1
260,ICICINIFTY,2190778634.66
261,AMBER,2190286430.9
262,VIPIND,2166208137.85
263,HINDZINC,2162147303.6
264,APLLTD,2134751236.4
265,VINATIORGA,2110145378.05
266,KAJARIACER,2100270628.15
267,NOCIL,2099289676.3
268,JUBILANT,2061445955.2
269,FDC,2044275184.6
270,IRB,2021084107.25
271,UJJIVANSFB,2003654251.3
272,NATCOPHARM,1996734817.35
273,CERA,1956748366.05
274,ENGINERSIN,1947157067.95
275,COCHINSHIP,1944995159.55
276,APLAPOLLO,1933894594.8
277,PGHH,1933571306.85
278,DBL,1919068557.0
279,QUESS,1906144224.75
280,INDIANB,1894805772.65
281,NLCINDIA,1881048147.3
282,SOUTHBANK,1870439831.7
283,ASTRAL,1854068854.45
284,KTKBANK,1847355366.75
285,OFSS,1836404829.45
286,SUDARSCHEM,1804862257.25
287,ABB,1779019148.75
288,GODFRYPHLP,1765836831.15
289,ORIENTBANK,1756307075.5
290,SYNGENE,1755940013.55
291,GODREJIND,1753756163.8
292,BANKINDIA,1746412681.25
293,INFIBEAM,1745551565.45
294,WABCOINDIA,1725713292.3
295,MOTILALOFS,1723355740.0
296,SUNDRMFAST,1693839044.45
297,ADANITRANS,1681692797.4
298,BOMDYEING,1680072740.25
299,RVNL,1666119246.8
300,KEC,1664731283.8
301,VMART,1649817309.6
302,SUMICHEM,1641074270.55
303,JAICORPLTD,1633718090.9
304,PGHL,1611527631.85
305,AKZOINDIA,1598138538.4
306,ASTRAZEN,1595399663.5
307,BSE,1571500641.05
308,CARERATING,1558138674.85
309,ORIENTELEC,1557582485.15
310,RAIN,1553292833.2
311,JKPAPER,1549140196.95
312,BSOFT,1536101512.0
313,SOBHA,1534187738.95
314,JBCHEPHARM,1529230589.2
315,BLUESTARCO,1484038887.8
316,RALLIS,1479766268.6
317,HEIDELBERG,1428987775.0
318,LUXIND,1412834480.85
319,GHCL,1390659399.5
320,KRBL,1385330343.5
321,JMFINANCIL,1375878146.7
322,VAKRANGEE,1357264237.35
323,NIITLTD,1355085857.2
324,SPANDANA,1338551408.5
325,CEATLTD,1317583489.0
326,SJVN,1314520106.7
327,JUNIORBEES,1312140602.31
328,GNFC,1309389216.8
329,ITI,1299056438.85
330,RIIL,1282247257.0
331,JSWENERGY,1281211961.35
332,VGUARD,1262485676.2
333,IDFC,1257535823.95
334,BAJAJELEC,1244204883.95
335,SOLARINDS,1197777318.65
336,INDOSTAR,1197104895.15
337,CCL,1194746884.6
338,CHAMBLFERT,1179689241.85
339,WELSPUNIND,1169445952.25
340,DHAMPURSUG,1164345594.1
341,CYIENT,1159189347.75
342,BBTC,1156018324.3
343,VSTIND,1152306088.55
344,PCJEWELLER,1139255865.9
345,BIRLACORPN,1133944926.05
346,KOTAKNIFTY,1123337823.14
347,PRAJIND,1121091654.15
348,CGCL,1119158073.0
349,SCI,1113662453.6
350,KOTAKBKETF,1112276611.59
351,PNCINFRA,1111234000.1
352,IIFLWAM,1100311648.3
353,BAJAJCON,1084152774.75
354,ELGIEQUIP,1081289919.3
355,PERSISTENT,1067008770.45
356,MINDAIND,1057010469.9
357,FSL,1054938560.55
358,INDIAGLYCO,1039987859.55
359,JINDALSAW,1033141692.85
360,NESCO,1028446859.1
361,IDBI,1023652318.05
362,OMAXE,1016686634.75
363,EBBETF0423,1011978976.94
364,GLAXO,990586332.65
365,SEQUENT,985822297.45
366,ALKYLAMINE,983605229.0
367,SUNTECK,983150470.65
368,TV18BRDCST,981476142.8
369,GODREJAGRO,970376826.85
370,SUPRAJIT,961537268.0
371,TTKPRESTIG,960278194.2
372,SYNDIBANK,956866662.15
373,SETFNIFBK,948691760.96
374,HDFCMFGETF,944013744.55
375,BLISSGVS,943575290.2
376,SETFGOLD,940041249.3
377,PHILIPCARB,925311299.7
378,IIFL,923609802.1
379,RCF,913529636.3
380,AEGISCHEM,908422149.15
381,BRIGADE,900645455.95
382,EBBETF0430,900220619.54
383,JKLAKSHMI,898093017.6
384,RAJESHEXPO,894882616.9
385,ENDURANCE,890856098.1
386,KNRCON,887650720.9
387,APEX,882455962.3
388,LAXMIMACH,879985716.25
389,TIMKEN,879414562.7
390,GILLETTE,877710345.8
391,UTINIFTETF,868419773.5
392,TEAMLEASE,856264325.8
393,KSCL,853562631.0
394,DISHTV,849050500.1
395,SONATSOFTW,835167281.35
396,CRISIL,834245428.9
397,ASTERDM,817763608.25
398,KIRIINDUS,811400733.15
399,CENTURYPLY,809436145.4
400,AFFLE,803844466.9
