symbol,status,days,note
20MICRONS,ok,1486,
3IINFOTECH,ok,1435,
3MINDIA,ok,1486,
5PAISA,ok,533,
63MOONS,ok,786,
8KMILES,ok,1324,
A2ZINFRA,ok,1269,
AARTIDRUGS,ok,1486,
AARTIIND,ok,1476,
AARVEEDEN,ok,1441,
AAVAS,ok,364,
ABAN,ok,1371,
ABB,ok,1476,
ABBOTINDIA,ok,1486,
ABCAPITAL,ok,623,
ABCIL,ok,452,
ABFRL,ok,1024,
ABGSHIP,ok,703,
ABIRLANUVO,ok,811,
ACC,ok,1486,
ACCELYA,ok,1486,
ACE,ok,1470,
ADANIENT,ok,1486,
ADANIGAS,ok,335,
ADANIGREEN,ok,429,
ADANIPORTS,ok,1486,
ADANIPOWER,ok,1486,
ADANITRANS,ok,1119,
ADFFOODS,ok,1486,
ADHUNIK,ok,1193,
ADHUNIKIND,ok,798,
ADLABS,ok,1088,
ADORWELD,ok,1449,
ADSL,ok,1210,
ADVANTA,ok,559,
ADVENZYMES,ok,901,
AEGISCHEM,ok,1486,
AFFLE,ok,138,
AFL,ok,954,
AGARIND,ok,1142,
AGCNET,ok,1312,
AGRITECH,ok,1046,
AGROPHOS,ok,149,
AHLUCONT,ok,1486,
AHMEDFORGE,ok,297,
AIAENG,ok,1486,
AIFL,ok,795,
AIL,ok,614,
AIRAN,ok,225,
AJANTPHARM,ok,1486,
AJMERA,ok,1446,
AKSHARCHEM,ok,741,
AKSHOPTFBR,ok,1360,
AKZOINDIA,ok,1486,
ALANKIT,ok,1117,
ALBERTDAVD,ok,866,
ALBK,ok,1478,
ALEMBICLTD,ok,1476,
ALKEM,ok,1049,
ALKYLAMINE,ok,1486,
ALLCARGO,ok,1486,
ALLSEC,ok,1431,
ALOKTEXT,ok,1207,
ALPHAGEO,ok,1407,
ALSTOMT&D,ok,614,
AMARAJABAT,ok,1486,
AMBER,ok,533,
AMBIKCO,ok,1486,
AMBUJACEM,ok,1486,
AMRUTANJAN,ok,1452,
AMTEKAUTO,ok,935,
AMTEKINDIA,ok,277,
ANANTRAJ,ok,1486,
ANDHRABANK,ok,1478,
ANDHRACEMT,ok,1239,
ANDHRSUGAR,ok,1486,
ANGIND,ok,805,
ANSALAPI,ok,1475,
ANSALHSG,ok,1393,
ANUP,ok,254,
APARINDS,ok,1486,
APCOTEXIND,ok,1486,
APEX,ok,624,
APLAPOLLO,ok,1486,
APLLTD,ok,1486,
APOLLO,ok,528,
APOLLOHOSP,ok,1486,
APOLLOPIPE,ok,98,
APOLLOTYRE,ok,1486,
APOLSINHOT,ok,775,
APTECHT,ok,1486,
ARCHIDPLY,ok,1408,
ARCHIES,ok,1379,
ARCOTECH,ok,1218,
ARIES,ok,1428,
ARIHANTSUP,ok,626,
ARMANFIN,ok,834,
AROGRANITE,ok,1483,
ARROWCOAT,ok,238,
ARROWGREEN,ok,819,
ARROWTEX,ok,1422,
ARSHIYA,ok,1288,
ARSSINFRA,ok,1145,
ARVIND,ok,1486,
ARVINDFASN,ok,250,
ARVINDREM,ok,379,
ARVINFRA,ok,280,
ARVSMART,ok,819,
ASAHIINDIA,ok,1486,
ASAHISONG,ok,1476,
ASALCBR,ok,33,
ASHAPURMIN,ok,1363,
ASHIANA,ok,1486,
ASHIMASYN,ok,1357,
ASHOKA,ok,1486,
ASHOKLEY,ok,1486,
ASIANPAINT,ok,1486,
ASIANTILES,ok,1430,
ASSAMCO,ok,1061,
ASTEC,ok,1486,
ASTERDM,ok,515,
ASTRAL,ok,1486,
ASTRAMICRO,ok,1486,
ASTRAZEN,ok,1486,
ASTRON,ok,544,
ATFL,ok,1486,
ATLANTA,ok,1438,
ATLASCYCLE,ok,700,
ATUL,ok,1486,
ATULAUTO,ok,1486,
AUBANK,ok,672,
AURIONPRO,ok,1476,
AUROPHARMA,ok,1486,
AUTOAXLES,ok,1486,
AUTOIND,ok,1330,
AUTOLITIND,ok,1404,
AVADHSUGAR,ok,579,
AVANTIFEED,ok,1221,
AVTNPL,ok,1486,
AXISBANK,ok,1486,
AXISCADES,ok,1320,
AYMSYNTEX,ok,1022,
BAFNAPHARM,ok,1230,
BAJAJ-AUTO,ok,1486,
BAJAJCON,ok,297,
BAJAJCORP,ok,1189,
BAJAJELEC,ok,1486,
BAJAJFINSV,ok,1486,
BAJAJHIND,ok,1486,
BAJAJHLDNG,ok,1486,
BAJFINANCE,ok,1486,
BALAJITELE,ok,1486,
BALAMINES,ok,1486,
BALKRISHNA,ok,782,
BALKRISIND,ok,1476,
BALLARPUR,ok,1427,
BALMLAWRIE,ok,1486,
BALPHARMA,ok,1486,
BALRAMCHIN,ok,1486,
BANARISUG,ok,1483,
BANCOINDIA,ok,1486,
BANDHANBNK,ok,495,
BANG,ok,1236,
BANKBARODA,ok,1486,
BANKBEES,ok,1486,
BANKINDIA,ok,1486,
BANSWRAS,ok,1382,
BARTRONICS,ok,1171,
BASF,ok,1486,
BATAINDIA,ok,1486,
BAYERCROP,ok,1486,
BBL,ok,1436,
BBTC,ok,1486,
BDL,ok,497,
BEL,ok,1486,
BEML,ok,1460,
BEPL,ok,1453,
BERGEPAINT,ok,1486,
BFINVEST,ok,1486,
BFUTILITIE,ok,1486,
BGRENERGY,ok,1486,
BHAGERIA,ok,1002,
BHAGYANGR,ok,643,
BHARATFIN,ok,738,
BHARATFORG,ok,1486,
BHARATGEAR,ok,1443,
BHARATIWIN,ok,95,
BHARATRAS,ok,1480,
BHARATWIRE,ok,932,
