calendar_year,year_end_date,index_name_in_source,year_end_close,pe_ratio,pe_source
2006,2006-12-29,CNX Mid Cap,5200.00,18.92,SEBI Annual Report 2006-07 Part II Table 2.16 (month-end)
2007,2007-12-31,CNX Mid Cap,9200.00,25.08,SEBI Annual Report 2007-08 Part II Table 2.16 (month-end)
2008,2008-12-31,CNX Mid-cap,3736.00,9.43,SEBI Annual Report 2008-09 Table 2.16 (month-end)
2009,2009-12-31,CNX Mid-cap,7419.00,16.14,SEBI Annual Report 2009-10 Table 2.16 (month-end)
2010,2010-12-31,Nifty Midcap 100,8857.20,20.00,SEBI Annual Report 2010-11 Table 2.16 (month-end)
2011,2011-12-30,Nifty Midcap 100,6111.90,14.60,SEBI Annual Report 2011-12 Table 2.16 (month-end)
2012,2012-12-31,CNX Midcap,8505.10,17.71,NSE archives bhavcopy (ind_close_all_31122012.csv)
2013,2013-12-31,CNX Midcap,8071.30,14.80,NSE archives bhavcopy (ind_close_all_31122013.csv)
2014,2014-12-31,CNX Midcap,12583.85,18.84,NSE archives bhavcopy (ind_close_all_31122014.csv)
2015,2015-12-31,Nifty Midcap 100,13396.70,27.43,NSE archives bhavcopy (ind_close_all_31122015.csv)
2016,2016-12-30,Nifty Free Float Midcap 100,14351.45,29.03,NSE archives bhavcopy (ind_close_all_30122016.csv)
2017,2017-12-29,Nifty Free Float Midcap 100,21133.50,52.61,NSE archives bhavcopy (ind_close_all_29122017.csv)
2018,2018-12-31,NIFTY Midcap 100,17875.50,42.29,NSE archives bhavcopy (ind_close_all_31122018.csv)
2019,2019-12-31,NIFTY Midcap 100,17102.50,24.95,NSE archives bhavcopy (ind_close_all_31122019.csv)
2020,2020-12-31,NIFTY Midcap 100,20842.50,419.32,NSE archives bhavcopy (ind_close_all_31122020.csv); extreme P/E reflects COVID-era earnings collapse not valuation extreme
2021,2021-12-31,NIFTY Midcap 100,30442.90,28.89,NSE archives bhavcopy (ind_close_all_31122021.csv)
2022,2022-12-30,NIFTY Midcap 100,31509.10,24.48,NSE archives bhavcopy (ind_close_all_30122022.csv)
2023,2023-12-29,NIFTY Midcap 100,46181.65,24.65,NSE archives bhavcopy (ind_close_all_29122023.csv)
2024,2024-12-30,NIFTY Midcap 100,57189.75,41.89,NSE archives bhavcopy (ind_close_all_30122024.csv)
2025,2025-12-31,NIFTY Midcap 100,60484.50,33.84,NSE archives bhavcopy (ind_close_all_31122025.csv)
