year,hy_value_inr_crore,hy_value_usd_bn,hy_number_of_issues,nifty50,nifty_midcap,nifty_smallcap,sensex
2001,2080.0,0.28,40.0,945.7317594131989,,,3262.330078125
2002,2088.0,0.28,42.0,979.0551255235712,,,3377.280029296875
2003,2179.0,0.29,44.0,1692.6827588747321,,2432.739990234375,5838.9599609375
2004,1937.0,0.26,44.0,1914.0839294639588,,3431.830078125,6602.68994140625
2005,1938.0,0.26,49.0,2724.4087401815505,4030.449951171875,5943.10986328125,9397.9296875
2006,2933.0,0.39,51.0,3996.7503246746633,5199.75,6892.31982421875,13786.91015625
2007,4062.0,0.54,57.0,6138.60009765625,9199.849609375,13348.3701171875,20286.990234375
2008,4147.0,0.55,60.0,2959.14990234375,3735.60009765625,3683.110107421875,9647.3095703125
2009,6991.0,0.93,89.0,5201.0498046875,7432.7998046875,8357.6201171875,17464.810546875
2010,7530.0,1.0,102.0,6134.5,8857.2001953125,9670.3095703125,20509.08984375
2011,6847.0,0.91,113.0,4624.2998046875,6111.85009765625,5550.14013671875,15454.919921875
2012,8907.0,1.19,158.0,5905.10009765625,8505.099609375,7379.93994140625,19426.7109375
2013,11353.0,1.51,188.0,6304.0,8071.2998046875,6551.1298828125,21170.6796875
2014,9553.0,1.27,137.0,8282.7001953125,12583.849609375,11087.0703125,27499.419921875
2015,10208.0,1.36,66.0,7946.35009765625,13396.7001953125,11836.7099609375,26117.5390625
2016,14084.0,1.88,72.0,8185.7998046875,14351.4501953125,12046.1298828125,26626.4609375
2017,16972.0,2.26,71.0,10530.7001953125,21133.5,19230.720703125,34056.828125
2018,12106.0,1.61,63.0,10862.5498046875,17875.5,14706.6904296875,36068.328125
2019,13437.0,1.79,65.0,12168.4501953125,17102.5,13343.6796875,41253.73828125
2020,18633.0,2.48,66.0,13981.75,20842.5,18098.109375,47751.328125
2021,15620.0,2.08,67.0,17354.05078125,30442.900390625,29457.759765625,58253.8203125
2022,11991.0,1.6,65.0,18105.30078125,31509.099609375,28926.7890625,60840.73828125
2023,15418.0,2.06,67.0,21731.400390625,46181.6484375,42673.76171875,72240.2578125
2024,17140.0,2.29,68.0,23644.80078125,57199.44921875,46908.16015625,78139.0078125
2025,22400.0,2.99,70.0,26129.599609375,60484.5,,85220.6015625
2026,,,,23894.05078125,61107.8515625,,76500.703125
