year,inr_per_usd
2003,45.52999877929688
2004,43.30799865722656
2005,44.970001220703125
2006,44.040000915527344
2007,39.244998931884766
2008,48.06499862670898
2009,46.400001525878906
2010,44.810001373291016
2011,53.0
2012,54.75299835205078
2013,61.77999877929688
2014,63.37799835205078
2015,66.45500183105469
2016,67.93299865722656
2017,64.06199645996094
2018,69.92250061035156
2019,71.31099700927734
2020,73.13400268554688
2021,74.43119812011719
2022,82.83509826660156
2023,82.302001953125
2024,85.7865982055664
2025,89.76940155029297
2026,95.18000030517578
